,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392,39.7392
Long,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903,-104.9903
Province/State,"Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO","Denver County, CO"
apparentTemperatureHigh,52.88,40.83,58.22,56.7,55.16,42.94,50.45,43.77,39.36,54.35,67.08,74.16,19.16,13.93,31.88,36.9,24.13,46.38,28.14,31.65,38.27,31.94,31.64,58.1,42.74,52.53,37.32,37.3,18.7,36.33,58.12,61.75,44.11,32.9,17.93,44.4,51.9,62.59,60.72,39.22,53.83,61.61,64.49,57.28,70.31,70.05,70.06,61.39,64.36,71.02,52.86,39.93,45.26,56.84,63.69
apparentTemperatureHighTime,1579723440,1579826820,1579899660,1579983600,1580075940,1580164680,1580247600,1580332440,1580407800,1580501160,1580589360,1580680680,1580738400,1580846460,1580938500,1581025200,1581123540,1581200280,1581256800,1581357660,1581458100,1581527040,1581631020,1581717120,1581805620,1581887940,1581964800,1582052460,1582120800,1582243440,1582319400,1582403880,1582501980,1582567740,1582675260,1582747320,1582838520,1582924800,1583015580,1583094300,1583185680,1583273580,1583362680,1583451540,1583535360,1583618640,1583697300,1583794200,1583873700,1583960760,1584021060,1584133200,1584220980,1584311940,1584388020
apparentTemperatureLow,29.33,25.38,30.79,27.22,32.22,23.95,29.65,23.76,15.12,31.27,42.49,17.66,6.6,-3.65,16.14,17.54,11.98,18.01,9.27,9.41,17.1,16.88,16.86,26.2,21.48,27.36,20.14,17.22,8.85,18.79,26.32,31.63,27.29,15.21,7.37,30.93,27.68,31.96,31.15,21.81,31.79,30.86,26.42,31.32,37.68,44.19,35.4,39.16,35.99,48.68,28.84,27.93,29.27,34.26,35.01
apparentTemperatureLowTime,1579772760,1579867620,1579964100,1580048580,1580119980,1580223360,1580277000,1580395560,1580472600,1580551200,1580642760,1580742000,1580806500,1580899860,1580990040,1581052020,1581170160,1581260400,1581341460,1581429600,1581506580,1581567480,1581679740,1581774540,1581860820,1581937440,1582034100,1582124400,1582205940,1582283820,1582362060,1582470000,1582551840,1582642800,1582712460,1582797720,1582890720,1582970400,1583069880,1583119020,1583238180,1583314260,1583414520,1583496360,1583585280,1583675520,1583733300,1583828760,1583924640,1584007140,1584104160,1584181620,1584269580,1584355200,1584424440
apparentTemperatureMax,52.88,40.83,58.22,56.7,55.16,42.94,50.45,43.77,39.36,54.35,67.08,74.16,25.71,14.79,31.88,36.9,26,46.38,33.1,31.65,38.27,31.94,31.64,58.1,42.74,52.53,37.32,37.3,24.81,36.33,58.12,61.75,44.11,32.9,26.08,44.4,51.9,62.59,60.72,41.38,53.83,61.61,64.49,57.28,70.31,70.05,70.06,61.39,64.36,71.02,55.65,39.93,45.26,56.84,63.69
apparentTemperatureMaxTime,1579723440,1579826820,1579899660,1579983600,1580075940,1580164680,1580247600,1580332440,1580407800,1580501160,1580589360,1580680680,1580724600,1580819760,1580938500,1581025200,1581137580,1581200280,1581237480,1581357660,1581458100,1581527040,1581631020,1581717120,1581805620,1581887940,1581964800,1582052460,1582095600,1582243440,1582319400,1582403880,1582501980,1582567740,1582615320,1582747320,1582838520,1582924800,1583015580,1583046000,1583185680,1583273580,1583362680,1583451540,1583535360,1583618640,1583697300,1583794200,1583873700,1583960760,1583995260,1584133200,1584220980,1584311940,1584388020
