,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras
Lat,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2
Long,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419,-86.2419
time,1579672800,1579759200,1579845600,1579932000,1580018400,1580104800,1580191200,1580277600,1580364000,1580450400,1580536800,1580623200,1580709600,1580796000,1580882400,1580968800,1581055200,1581141600,1581228000,1581314400,1581400800,1581487200,1581573600,1581660000,1581746400,1581832800,1581919200,1582005600,1582092000,1582178400,1582264800,1582351200,1582437600,1582524000,1582610400,1582696800,1582783200,1582869600,1582956000,1583042400,1583128800,1583215200,1583301600,1583388000,1583474400,1583560800,1583647200,1583733600,1583820000,1583906400,1583992800,1584079200,1584165600,1584252000,1584338400
summary,Possible drizzle in the morning.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the afternoon.,Possible light rain in the afternoon.,Clear throughout the day.,Possible light rain overnight.,Light rain throughout the day.,Possible light rain in the morning.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible light rain overnight.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the morning.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Foggy in the morning.,Possible light rain overnight.,Mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain starting in the afternoon.,Rain throughout the day.,Light rain throughout the day.,Overcast throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Possible drizzle overnight.,Light rain throughout the day.,Possible light rain until evening.,"Possible light rain until afternoon, starting again overnight.",Foggy in the morning.,Possible light rain in the afternoon.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.
icon,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,clear-day,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain
sunriseTime,1579695360,1579781760,1579868160,1579954560,1580040960,1580127360,1580213760,1580300160,1580386560,1580472900,1580559300,1580645700,1580732100,1580818500,1580904840,1580991240,1581077640,1581164040,1581250380,1581336780,1581423180,1581509520,1581595920,1581682260,1581768660,1581855060,1581941400,1582027800,1582114140,1582200540,1582286880,1582373280,1582459620,1582546020,1582632360,1582718700,1582805100,1582891440,1582977840,1583064180,1583150520,1583236920,1583323260,1583409600,1583496000,1583582340,1583668680,1583755080,1583841420,1583927760,1584014160,1584100500,1584186840,1584273180,1584359580
sunsetTime,1579736340,1579822800,1579909200,1579995660,1580082060,1580168520,1580254920,1580341380,1580427780,1580514240,1580600640,1580687100,1580773500,1580859960,1580946360,1581032820,1581119220,1581205620,1581292080,1581378480,1581464940,1581551340,1581637740,1581724200,1581810600,1581897000,1581983460,1582069860,1582156260,1582242720,1582329120,1582415520,1582501980,1582588380,1582674780,1582761180,1582847640,1582934040,1583020440,1583106840,1583193240,1583279700,1583366100,1583452500,1583538900,1583625300,1583711760,1583798160,1583884560,1583970960,1584057360,1584143760,1584230160,1584316620,1584403020
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.77
