,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA","Yolo County, CA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646,38.7646
Long,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain in the evening and overnight.,Light rain in the morning.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the evening and overnight.,Windy in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Possible drizzle in the morning and afternoon.,Overcast throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,"Light rain until afternoon, starting again overnight.","Light rain until afternoon, starting again overnight.",Drizzle in the morning and overnight.
icon,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,wind,wind,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,rain,rain,rain
sunriseTime,1579706520,1579792920,1579879260,1579965600,1580052000,1580138340,1580224680,1580311020,1580397420,1580483760,1580570100,1580656440,1580742780,1580829120,1580915460,1581001800,1581088140,1581174480,1581260820,1581347160,1581433500,1581519840,1581606180,1581692460,1581778800,1581865140,1581951480,1582037820,1582124100,1582210440,1582296780,1582383060,1582469400,1582555740,1582642020,1582728360,1582814640,1582900980,1582987320,1583073600,1583159940,1583246220,1583332560,1583418840,1583505180,1583591460,1583677800,1583764080,1583850420,1583936700,1584023040,1584109320,1584195600,1584281940,1584368220
sunsetTime,1579742280,1579828740,1579915260,1580001720,1580088180,1580174640,1580261100,1580347560,1580434080,1580520540,1580607000,1580693460,1580779920,1580866380,1580952900,1581039360,1581125820,1581212280,1581298740,1581385200,1581471720,1581558180,1581644640,1581731100,1581817560,1581904020,1581990480,1582076940,1582163460,1582249920,1582336380,1582422840,1582509300,1582595760,1582682220,1582768680,1582855140,1582941600,1583028060,1583114520,1583200980,1583287440,1583373900,1583460360,1583546820,1583633280,1583719740,1583806200,1583892660,1583979120,1584065580,1584152040,1584238500,1584324960,1584411420
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
precipIntensity,0.0005,0.0012,0.0012,0.0041,0.0049,0.0007,0.0012,0.0006,0.0008,0.0005,0.0004,0.0005,0.0006,0.0005,0.001,0.0009,0.0006,0.0008,0.0008,0.0008,0.0009,0.001,0.0006,0.0007,0.0009,0.0009,0.0007,0.0009,0.0009,0.001,0.0008,0.0007,0.0005,0.0008,0.0008,0.0007,0.0004,0.0001,0.0008,0.0005,0.001,0.0008,0.0006,0.0005,0.001,0.003,0.0009,0.0007,0.0007,0.0006,0.0007,0.0008,0.0051,0.0121,0.0074
precipIntensityMax,0.002,0.0022,0.0046,0.0332,0.0278,0.0021,0.0075,0.0022,0.0021,0.0016,0.0018,0.0025,0.0024,0.0021,0.0028,0.0024,0.0022,0.0027,0.0024,0.0025,0.0021,0.0023,0.0021,0.0018,0.0021,0.0022,0.0019,0.0022,0.0022,0.0023,0.002,0.0022,0.0021,0.0022,0.0019,0.0023,0.0022,0.0015,0.0028,0.0021,0.0023,0.002,0.0021,0.002,0.0022,0.0137,0.0024,0.0023,0.0021,0.002,0.002,0.0021,0.0149,0.0549,0.0422
precipIntensityMaxTime,1579682940,1579838880,1579931760,1580021880,1580040240,1580115600,1580238060,1580289240,1580421600,1580482860,1580553840,1580662800,1580755920,1580824980,1580937960,1581008160,1581145200,1581178260,1581270660,1581331140,1581460560,1581528720,1581638340,1581674160,1581765600,1581898680,1581998880,1582027440,1582167720,1582261080,1582317720,1582401600,1582452900,1582588800,1582682400,1582736340,1582828680,1582909260,1583038500,1583082000,1583137740,1583272860,1583366400,1583420040,1583536860,1583614920,1583709360,1583748180,1583827020,1583953200,1584014460,1584157080,1584205200,1584265260,1584349860
precipProbability,0.19,0.46,0.51,0.86,0.92,0.21,0.32,0.15,0.15,0.1,0.11,0.13,0.09,0.09,0.09,0.11,0.1,0.09,0.04,0.02,0.03,0.05,0.07,0.1,0.17,0.15,0.07,0.08,0.08,0.08,0.08,0.09,0.14,0.11,0.04,0.05,0.04,0.03,0.12,0.15,0.04,0.03,0.04,0.07,0.08,0.68,0.24,0.18,0.07,0.09,0.06,0.06,0.86,0.97,0.95
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,58.7,55.36,62.91,61.18,67.1,65.65,62.62,67.47,67.8,67.26,65.29,59.73,56.25,57.67,64.53,65.86,68,64.44,63.63,73.65,75.41,70.26,66,65.26,65.86,68.68,71.24,66.71,66.63,67.49,72.89,74.38,63.73,73,76.1,74.48,77.17,73.34,67.61,60.84,71.12,79.08,76.75,73.6,64.61,57.82,58.41,66.29,75.33,72.61,81.49,68.75,55.55,54.4,50.81
temperatureHighTime,1579730880,1579819860,1579906320,1579993200,1580076240,1580161800,1580254920,1580335380,1580422020,1580511660,1580601120,1580680560,1580770380,1580853780,1580941380,1581032760,1581116520,1581205920,1581285720,1581375120,1581458520,1581546240,1581631680,1581722820,1581808140,1581893640,1581977100,1582063500,1582149960,1582236240,1582322820,1582412460,1582499820,1582582140,1582668480,1582755420,1582844400,1582928640,1583013060,1583106780,1583193660,1583279460,1583359680,1583445960,1583531280,1583618640,1583707980,1583794860,1583877960,1583970840,1584053460,1584129660,1584222660,1584309660,1584398700
temperatureLow,41.44,43.18,46.15,53.04,43.46,45.27,44.2,43.89,42.55,40.86,46.7,34.94,37.45,35.28,36.73,35.82,36.43,46.4,44.3,48.89,40.54,37.65,37.01,38.2,42.79,47.65,41.9,37.39,38.43,41.6,42.62,40.03,41.06,49.63,41.2,42.31,43.04,43.83,44.55,45.38,47.72,43.95,43.08,42.82,46.28,37.96,43.1,41.84,44.17,45.9,45.07,44.8,44.49,39.16,38.9
temperatureLowTime,1579788060,1579876080,1579963500,1580051640,1580133840,1580219580,1580306460,1580397300,1580482620,1580566560,1580635260,1580738280,1580826300,1580914500,1580998140,1581084600,1581172920,1581259980,1581331920,1581431460,1581518580,1581604440,1581689940,1581776280,1581862440,1581950640,1582036800,1582123740,1582207140,1582293540,1582382160,1582466940,1582555200,1582640940,1582727760,1582812420,1582898280,1582987140,1583064420,1583157480,1583246220,1583330340,1583416800,1583502960,1583582460,1583675520,1583762340,1583848260,1583935140,1584020820,1584108840,1584189540,1584270000,1584367080,1584452280
