,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia
Lat,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521,5.1521
Long,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996,46.1996
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,95.06,98.85,100.99,100.46,98.47,94.31,92.47,91.74,91.78,91.82,91.62,91.66,92.99,94.49,94.2,95.33,95.5,94.06,94.59,94.51,95.06,97.44,96.74,92.99,97.05,96.81,96.45,94.06,97.41,97.09,97.35,96,95.54,97.08,97.62,94.91,96.72,98.34,97.79,97.66,97.5,96.55,97.26,97.96,98.8,96.59,98.74,98.47,97.53,98.54,97.01,98.45,98.11,101.52,100.73
apparentTemperatureHighTime,1579698300,1579776780,1579864260,1579949640,1580036100,1580122860,1580215980,1580299020,1580388840,1580474520,1580555460,1580648280,1580728260,1580814540,1580901120,1580987100,1581073380,1581160080,1581246540,1581332820,1581425700,1581508620,1581591780,1581678360,1581764040,1581858480,1581944580,1582030620,1582109880,1582203780,1582290060,1582369860,1582458960,1582549200,1582631280,1582716000,1582801380,1582891200,1582975080,1583061660,1583153460,1583238540,1583326740,1583413380,1583500260,1583579940,1583672700,1583758740,1583844960,1583925900,1584010860,1584097440,1584190140,1584277080,1584363360
apparentTemperatureLow,73.88,76.67,77.17,75.77,74.71,74.24,69.9,67.29,68.52,67.17,67.63,68.87,67.46,67.52,67.31,67.09,66.05,64.84,67.79,69.04,69.68,69.16,73.98,72.46,72.98,70.46,68.63,71.85,70.9,74.27,72.81,67.8,69.18,73.15,75.56,68.15,68.22,64.85,65.2,66.01,68.21,66.02,68.32,74.28,74.79,70.24,72.17,70.94,69.66,71.18,74.21,76.47,76.32,76.77,76.75
apparentTemperatureLowTime,1579744920,1579830600,1579916820,1580004180,1580090220,1580176380,1580262900,1580350200,1580435520,1580522520,1580608740,1580694960,1580781660,1580867940,1580954400,1581041280,1581126540,1581213720,1581300120,1581386160,1581472740,1581559560,1581645420,1581732060,1581819840,1581904680,1581991140,1582077000,1582163940,1582249800,1582333800,1582422780,1582509360,1582595880,1582682460,1582771920,1582855740,1582941600,1583028480,1583114400,1583195760,1583287260,1583373600,1583444640,1583536440,1583632860,1583718960,1583805540,1583892120,1583978760,1584065100,1584148020,1584235740,1584320700,1584410340
apparentTemperatureMax,95.06,98.85,100.99,100.46,98.47,94.31,92.47,91.74,91.78,91.82,91.62,91.66,92.99,94.49,94.2,95.33,95.5,94.06,94.59,94.51,95.06,97.44,96.74,92.99,97.05,96.81,96.45,94.06,97.41,97.09,97.35,96,95.54,97.08,97.62,94.91,96.72,98.34,97.79,97.66,97.5,96.55,97.26,97.96,98.8,96.59,98.74,98.47,97.53,98.54,97.01,98.45,98.11,101.52,100.73
apparentTemperatureMaxTime,1579698300,1579776780,1579864260,1579949640,1580036100,1580122860,1580215980,1580299020,1580388840,1580474520,1580555460,1580648280,1580728260,1580814540,1580901120,1580987100,1581073380,1581160080,1581246540,1581332820,1581425700,1581508620,1581591780,1581678360,1581764040,1581858480,1581944580,1582030620,1582109880,1582203780,1582290060,1582369860,1582458960,1582549200,1582631280,1582716000,1582801380,1582891200,1582975080,1583061660,1583153460,1583238540,1583326740,1583413380,1583500260,1583579940,1583672700,1583758740,1583844960,1583925900,1584010860,1584097440,1584190140,1584277080,1584363360
apparentTemperatureMin,71.41,73.88,76.67,77.17,75.77,74.71,74.24,69.9,67.29,68.52,67.17,67.63,68.87,67.46,67.52,67.31,67.09,66.05,64.84,67.79,69.04,69.68,69.16,73.98,72.46,72.98,70.46,68.63,71.85,70.9,74.27,72.81,67.8,69.18,73.15,75.56,68.15,68.22,64.85,65.2,66.01,68.21,66.02,68.32,74.28,74.79,70.24,72.17,70.94,69.66,71.18,74.21,76.47,76.32,76.77
apparentTemperatureMinTime,1579661700,1579744920,1579830600,1579916820,1580004180,1580090220,1580176380,1580262900,1580350200,1580435520,1580522520,1580608740,1580694960,1580781660,1580867940,1580954400,1581041280,1581126540,1581213720,1581300120,1581386160,1581472740,1581559560,1581645420,1581732060,1581819840,1581904680,1581991140,1582077000,1582163940,1582249800,1582333800,1582422780,1582509360,1582595880,1582682460,1582771920,1582855740,1582941600,1583028480,1583114400,1583195760,1583287260,1583373600,1583444640,1583536440,1583632860,1583718960,1583805540,1583892120,1583978760,1584065100,1584148020,1584235740,1584320700
cloudCover,0.63,0.34,0.86,0.84,0.52,0.38,0.62,0.44,0.85,0.9,0.78,0.68,0.49,0.12,0.68,0.79,0.72,0.71,0.92,0.3,0.64,0.04,0.15,0.63,0.48,0.33,0.33,0.19,0.2,0.64,0.44,0.39,0.48,0.67,0.72,0.91,0.58,0.87,0.07,0.54,0.2,0.51,0.63,0.53,0.78,0.28,0.17,0.59,0.32,0.07,0.67,0.9,0.8,0.6,0.69
dewPoint,68.14,70.18,72.88,72.45,70.83,68.04,65.37,62.04,57.7,58.9,60.21,63.48,61.12,60.39,60.75,55.84,56.22,57.28,57.99,63.42,65.88,63.4,62.13,67.08,68.51,67.79,63.12,65.52,67.8,67.39,66.74,65.45,62.74,64.18,70.33,62.51,61.45,56.07,54.91,58.27,59.17,61.61,57.79,58.99,66.44,66.08,66.81,69.53,64.01,60.56,64.95,65.73,68.64,71.26,72.59
humidity,0.68,0.67,0.71,0.7,0.68,0.65,0.62,0.58,0.54,0.57,0.59,0.63,0.59,0.58,0.58,0.49,0.52,0.56,0.58,0.64,0.66,0.6,0.55,0.62,0.66,0.67,0.6,0.66,0.66,0.66,0.64,0.62,0.61,0.61,0.69,0.55,0.57,0.52,0.53,0.56,0.57,0.58,0.54,0.58,0.64,0.61,0.64,0.7,0.59,0.56,0.62,0.63,0.65,0.69,0.71
icon,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,cloudy,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,cloudy,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,cloudy,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,cloudy,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.59,0.63,0.67,0.71,0.74,0.78,0.81,0.84,0.88,0.91,0.94,0.97,0,0.03,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.28,0.31,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
ozone,243.8,243.6,244.9,242,244.6,244.3,245.9,247.3,246.6,248,248.9,245,244.5,246,247.6,246.1,245.7,248,253.1,251.2,248.1,248.5,249.8,248.5,250.5,253.3,258.3,256.5,257.2,261.3,261.1,262.8,261.3,260,256.7,254.4,255.6,261.1,260.6,259.3,262.2,262.8,265.1,258.6,254.1,255.4,262.8,265.9,267,264.5,264.4,262.5,264.4,264.8,261
precipIntensity,0.0002,0.0001,0.0001,0.0001,0.0001,0.0003,0,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0003,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0002,0,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0002,0.0002,0.0001,0.0001,0.0001,0.0002
precipIntensityMax,0.001,0.0002,0.0002,0.0008,0.0004,0.001,0.0002,0.0003,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0002,0.0004,0.0004,0.0005,0.0003,0.0003,0.0003,0.0005,0.0004,0.0015,0.0003,0.0004,0.0005,0.0004,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0002,0.0007,0.0002,0.0003,0.0009,0.0003,0.0005,0.0003,0.0003,0.0004,0.0004,0.0003,0.0002,0.0005,0.0009
precipIntensityMaxTime,1579661940,1579744800,1579838700,1579909920,1580032800,1580093940,1580241600,1580284800,1580365440,1580418000,1580505900,1580590800,1580760000,1580763600,1580915100,1580947200,1581056400,1581130980,1581237300,1581328800,1581368400,1581517920,1581579000,1581702840,1581716400,1581843600,1581936900,1582005600,1582059600,1582168080,1582265160,1582392600,1582413000,1582567020,1582603200,1582664400,1582772160,1582837200,1582977720,1583064480,1583136000,1583204880,1583312400,1583431080,1583463000,1583549760,1583629740,1583765220,1583787600,1583926200,1583992020,1584046800,1584216000,1584294780,1584350700
precipProbability,0.05,0.05,0.07,0.08,0.08,0.12,0.02,0.08,0.05,0.06,0.07,0.04,0.03,0.08,0.04,0.03,0.02,0.02,0.06,0.06,0.04,0.05,0.06,0.07,0.07,0.05,0.05,0.08,0.05,0.07,0.06,0.07,0.06,0.07,0.08,0.1,0.02,0.03,0.02,0.03,0.04,0.05,0.02,0.04,0.04,0.05,0.05,0.06,0.05,0.06,0.05,0.05,0.07,0.12,0.03
precipType,rain,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,rain
pressure,1010.9,1010.7,1011.8,1012.7,1012.4,1012.7,1012.7,1013,1013.5,1012.5,1012.6,1013.4,1013.6,1013.1,1013,1014,1014,1014.4,1013.6,1011.9,1011.2,1011.4,1012.7,1012.9,1013,1012.6,1012,1012.6,1011.6,1010.5,1010.9,1012.1,1012.1,1011,1010.4,1011.1,1011.6,1010.9,1010.3,1009.7,1010.9,1012.2,1012.5,1012,1010.5,1010.8,1010.3,1009.7,1009.9,1010.2,1010.7,1010.9,1010.8,1009.8,1009.3
