,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
Lat,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408,36.1408
Long,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536,-5.3536
Province/State,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar
apparentTemperatureHigh,54.43,57.99,57.78,57.92,60.64,61.61,63.51,66.31,66.82,66.61,68.28,62.34,65.31,64.56,60.27,60.08,59.77,63.23,64.81,62.07,69.6,65.33,64.79,62.16,62.09,60.87,68.33,61.78,61.45,60.23,61.29,60.38,62.05,63.51,65.62,63.68,66.12,62.59,63.88,65.5,66.62,63.74,69.73,63.59,62.18,65.1,65.13,73.34,65.04,69.56,73.41,67.59,63.76,62.05,59.72
apparentTemperatureHighTime,1579709820,1579784400,1579870920,1579959900,1580054280,1580131860,1580217780,1580306340,1580390760,1580479920,1580562180,1580639400,1580731620,1580828280,1580908500,1580988480,1581079320,1581165180,1581253260,1581341100,1581428220,1581513600,1581607500,1581686160,1581774180,1581861720,1581953040,1582030740,1582122960,1582204440,1582300740,1582378320,1582460280,1582561440,1582638120,1582723080,1582810860,1582903500,1582983780,1583069100,1583158320,1583241660,1583337900,1583413140,1583501040,1583590320,1583679540,1583767260,1583835000,1583949060,1584025080,1584112260,1584187320,1584280620,1584364500
apparentTemperatureLow,52.63,52.71,55.4,52.4,46.48,54.28,53.02,56.06,54.88,56.46,54.38,54.33,54.19,54.29,58.21,57.97,54.8,54.41,56.21,51.98,58.05,57.66,52.68,56.61,57.9,54.8,57.99,56.93,57.94,58.29,58.12,58.23,56.8,57.66,56.24,54.62,52.29,53.48,57.96,59.62,56.07,58.4,58.29,52.67,52.96,52.02,56.45,55.76,58.78,57.46,58.34,58.45,59.91,54.53,48.95
apparentTemperatureLowTime,1579721460,1579830000,1579926960,1580016180,1580105580,1580169240,1580271840,1580365200,1580454000,1580529600,1580626800,1580713200,1580793300,1580875200,1580964780,1581058800,1581130800,1581222180,1581308520,1581398160,1581488220,1581569460,1581652560,1581740400,1581828900,1581917640,1581999960,1582070400,1582154580,1582243020,1582347360,1582415520,1582527540,1582606140,1582697940,1582784820,1582871340,1582952400,1583040120,1583102340,1583212080,1583299020,1583381220,1583472960,1583564400,1583647380,1583734440,1583823360,1583902800,1583983560,1584073260,1584169080,1584229200,1584342000,1584420960
apparentTemperatureMax,54.43,57.99,57.78,57.92,60.64,61.61,63.51,66.31,66.82,66.61,68.28,62.34,65.31,64.56,60.27,60.08,59.77,63.23,64.81,62.07,69.6,65.33,64.79,62.16,62.09,60.87,68.33,61.78,61.45,60.23,61.29,60.38,62.05,63.51,65.62,63.68,66.12,62.59,63.88,65.5,66.62,63.74,69.73,63.59,62.18,65.1,65.13,73.34,65.04,69.56,73.41,67.59,63.76,62.05,59.72
apparentTemperatureMaxTime,1579709820,1579784400,1579870920,1579959900,1580054280,1580131860,1580217780,1580306340,1580390760,1580479920,1580562180,1580639400,1580731620,1580828280,1580908500,1580988480,1581079320,1581165180,1581253260,1581341100,1581428220,1581513600,1581607500,1581686160,1581774180,1581861720,1581953040,1582030740,1582122960,1582204440,1582300740,1582378320,1582460280,1582561440,1582638120,1582723080,1582810860,1582903500,1582983780,1583069100,1583158320,1583241660,1583337900,1583413140,1583501040,1583590320,1583679540,1583767260,1583835000,1583949060,1584025080,1584112260,1584187320,1584280620,1584364500
apparentTemperatureMin,48.71,52.85,52.71,54.21,52.4,46.48,54.28,53.02,56.06,54.67,56.46,54.12,54.03,54.19,54.29,58.21,56.29,54.8,54.41,55.17,51.98,58.03,57.66,52.68,56.61,56.72,54.8,57.99,56.93,57.94,58.21,58.11,58.23,56.8,57.66,56.24,54.62,52.29,53.48,57.96,59.41,56.07,58.4,58.29,52.67,52.88,52.02,56.45,55.76,58.78,57.46,58.34,58.45,58.23,53.17
apparentTemperatureMinTime,1579676340,1579763760,1579830000,1579989600,1580073600,1580105580,1580169240,1580271840,1580365200,1580455920,1580529600,1580628360,1580714880,1580793300,1580875200,1580964780,1581110700,1581130800,1581222180,1581372000,1581398160,1581544800,1581569460,1581652560,1581740400,1581888600,1581917640,1581999960,1582070400,1582154580,1582322400,1582357020,1582415520,1582527540,1582606140,1582697940,1582784820,1582871340,1582952400,1583040120,1583184480,1583212080,1583299020,1583381220,1583472960,1583565720,1583647380,1583734440,1583823360,1583902800,1583983560,1584073260,1584169080,1584309600,1584349140
cloudCover,0.82,0.88,0.85,0.82,0.18,0.14,0.36,0.75,0.4,0.64,0.36,0.19,0.31,0.18,0.77,0.84,0.79,0.65,0.33,0.34,0.29,0.51,0.63,0.27,0.42,0.44,0.03,0.83,0.69,0.72,0.57,0.48,0.41,0.32,0.25,0.18,0,0.44,0.47,0.76,0.78,0.71,0.18,0.36,0.11,0.26,0.19,0.12,0.08,0.57,0.78,0.8,0.66,0.86,0.57
